Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Netral,Pop,"The Chainsmokers, ILLENIUM",Takeaway(feat. Lennon Stella),2019,spotify:track:4xkm03zMAQXHc0QHl0V2Rm
Sedih,Pop,Adele,Someone Like You,2011,spotify:track:3bNv3VuUOKgrf5hu3YcuRo
Bersemangat,Reggae,Souljah,Tak Selalu,2014,spotify:track:796ASjsQqxD4QOe9b5lm39
Marah,Rock,Seringai,Selamanya,2018,spotify:track:5Yu9yUEb2kq6CkB8jXTrfO
Sedih,Jazz,Frank Sinatra,Fly Me To The Moon,2018,spotify:track:4aZsaTnr6eitSWDfLxob6h
Bersemangat,Pop Punk,Green Day,Basket Case,1994,spotify:track:6L89mwZXSOwYl76YXfX13s
Bahagia,Classical,The Smiths,There's a light that never goes out,1986,spotify:track:0WQiDwKJclirSYG9v5tayI
Sedih,Pop,Ateez,Mist,2019,spotify:track:52PCrf2tqml44bWLNT58hF
Bersemangat,Pop,JKT48,Fortune cookie yang mencinta,2016,spotify:track:1W3ufHAL2XuSKqjkBRewrh
Sedih,Sad,Ed sheeran,Perfect,2017,spotify:track:0tgVpDi06FyKpA1z0VMD4v
Bersemangat,Rock,Bon jovi ,It’s my life ,2000,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l
Sedih,Pop,Mahen,Pura pura lupa,2019,spotify:track:6Aw5k0jkFceYayaJoRupLT
Sedih,Pop,5 seconds of summer ,Lie to me,2018,spotify:track:3567eNX2L3RkkMkwspncMH
Bahagia,Pop,Hatsune Miku ,Miku,2016,spotify:track:0P8Oo3lrUScQJTNz2NVwSR
Bersemangat,Pop Punk,Neck Deep ,She's a god,2019,spotify:track:3rmVrevtGa5y7wieirt7rZ
Bersemangat,Pop,The 1975,It's Not Living (If It's Not With You),2018,spotify:track:3TgMcrV32NUKjEG2ujn9eh
Bahagia,Metal,linkin park,numb,2003,spotify:track:2nLtzopw4rPReszdYBJU6h
Netral,Indie,hindia,secukupnya,2019,spotify:track:5drW6PGRxkE6MxttzVLNk5
Bersemangat,Rock,Bon Jovi ,Thank you for loving me,2000,spotify:track:577MNC3o3L0lNIzx9abqOk
Netral,Reggae,Bob Marley ,No woman no cry ,1974,spotify:track:3PQLYVskjUeRmRIfECsL0X
Sedih,EDM,alan walker,faded,2018,spotify:track:698ItKASDavgwZ3WjaWjtz
Sedih,Pop,kangen band,doy,2008,spotify:track:0MhNhoGoKkOILkpAq80cdc
Sedih,Pop,naff,kenanglah aku,2009,spotify:track:0zJIPpVcHKWqmf2FaKXbQQ
Bersemangat,Classical,westlife,my love,2000,spotify:track:5p0ietGkLNEqx1Z7ijkw5g
Netral,Indie,payung teduh,resah,2014,spotify:track:1k5vv2ood14aa5uBYWBlWh
Marah,Pop Punk,Neck Deep,Wish You Were Here ,2017,spotify:track:4Ssi6tKwrTHi5qvDndrZRP
Sedih,Indie,hivi,remaja,2017,spotify:track:3O9OibrJm0vSYxZjz3Pooe
Bersemangat,Metal,scorpions,send me an angel,1990,spotify:track:1bKQ48M9onID2kbSpRy8kK
Sedih,Pop,Kezia,Aku masih memikirkanmu,2022,spotify:track:2KCikMsmJSBEgfOOskQ87P
Sedih,Pop,Gustixa,Somewhere Only We Know,2022,spotify:track:7u17EhUM7FP082lR7NB2cP
Sedih,Pop,Kunto Aji,Rehat,2018,spotify:track:7mjO4RbTZIb1SfE8G673Lm
Sedih,Pop,Nadin Amizah,Beranjak Dewasa,2020,spotify:track:3FPlY1uqTe1oFfIgI0BnoA
Sedih,Pop,Nadin Amizah,Sorai,2019,spotify:track:3ymuBMTviroWLuf1jMsMVf
Marah,Pop,Hindia,Evakuasi,2019,spotify:track:1bcIiU5FWRa2IYBqx0bk67
Marah,Pop,Neck Deep,December,2015,spotify:track:4oVdhvxZrKQTM9ZsUIZa3S
Sedih,Pop,Ghea Indrawari,Jiwa Yang Bersedih,2023,spotify:track:6XsFgTG4dY768oIB4Dmeu0
Marah,Rock,Slipknot,Duality,2004,spotify:track:61mWefnWQOLf90gepjOCb3
Sedih,Jazz,Billie Holiday,Solitude,1956,spotify:track:30QD4VRP9yEneOh0eGTrtJ
Bersemangat,Pop Punk,Pee Wee Gaskins,Serotonin,2016,spotify:track:44wWwFCjFT6U6dZHbbdPXF
Bahagia,Classical,Ramones,I wanna be sedated,1978,spotify:track:5NoQvINZLBV1wMYPdNmReL
Sedih,Pop,Ed Sheeran,Photograph,2014,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL
Bersemangat,Pop,Ryuu,Memori,2023,spotify:track:7xm9BcAlfsFiHKPcXSVhdr
Sedih,Sad,Cakra khan,Kepada hati,2022,spotify:track:69zr3m2IPoMDxlMjxxcNVu
